 Rows: Electric field / N (Td)                                         
  0.1000       34.58       69.06       103.5       138.0       172.5       207.0       241.5       275.9       310.4    
   344.9       379.4       413.9       448.3       482.8       517.3       551.8       586.2       620.7       655.2    
   689.7       724.2       758.6       793.1       827.6       862.1       896.6       931.0       965.5       1000.    

 Columns: Mole fraction He
   0.000      0.1111      0.2222      0.3333      0.4444      0.5556      0.6667      0.7778      0.8889       1.000    

 Columns: Mole fraction N2
  0.8000      0.7111      0.6222      0.5333      0.4444      0.3556      0.2667      0.1778      0.8889E-01   0.000    

 Columns: Mole fraction O2
  0.2000      0.1778      0.1556      0.1333      0.1111      0.8889E-01  0.6667E-01  0.4444E-01  0.2222E-01   0.000    

 Mean energy (eV)                                                
  0.4242E+25  0.4598E+25  0.5028E+25  0.5568E+25  0.6275E+25  0.7259E+25  0.8750E+25  0.1134E+26  0.1699E+26  0.3799E+26
  0.4529E+25  0.4925E+25  0.5410E+25  0.6029E+25  0.6854E+25  0.8017E+25  0.9807E+25  0.1297E+26  0.2005E+26  0.4802E+26
  0.4786E+25  0.5224E+25  0.5763E+25  0.6461E+25  0.7395E+25  0.8728E+25  0.1081E+26  0.1454E+26  0.2314E+26  0.5879E+26
  0.5019E+25  0.5499E+25  0.6093E+25  0.6862E+25  0.7905E+25  0.9405E+25  0.1177E+26  0.1609E+26  0.2625E+26  0.6993E+26
  0.5242E+25  0.5754E+25  0.6399E+25  0.7242E+25  0.8386E+25  0.1005E+26  0.1270E+26  0.1761E+26  0.2937E+26  0.8126E+26
  0.5446E+25  0.5995E+25  0.6691E+25  0.7597E+25  0.8840E+25  0.1066E+26  0.1360E+26  0.1910E+26  0.3253E+26  0.9273E+26
  0.5638E+25  0.6224E+25  0.6964E+25  0.7937E+25  0.9282E+25  0.1126E+26  0.1448E+26  0.2058E+26  0.3570E+26  0.1041E+27
  0.5823E+25  0.6439E+25  0.7228E+25  0.8265E+25  0.9703E+25  0.1184E+26  0.1535E+26  0.2205E+26  0.3887E+26  0.1157E+27
  0.5995E+25  0.6649E+25  0.7475E+25  0.8579E+25  0.1011E+26  0.1241E+26  0.1620E+26  0.2350E+26  0.4200E+26  0.1271E+27
  0.6163E+25  0.6843E+25  0.7719E+25  0.8882E+25  0.1052E+26  0.1296E+26  0.1704E+26  0.2496E+26  0.4518E+26  0.1386E+27
  0.6323E+25  0.7037E+25  0.7952E+25  0.9179E+25  0.1091E+26  0.1351E+26  0.1787E+26  0.2640E+26  0.4832E+26  0.1503E+27
  0.6477E+25  0.7222E+25  0.8181E+25  0.9468E+25  0.1129E+26  0.1405E+26  0.1869E+26  0.2784E+26  0.5143E+26  0.1621E+27
  0.6628E+25  0.7400E+25  0.8402E+25  0.9750E+25  0.1166E+26  0.1458E+26  0.1951E+26  0.2927E+26  0.5459E+26  0.1739E+27
  0.6772E+25  0.7577E+25  0.8619E+25  0.1003E+26  0.1203E+26  0.1511E+26  0.2033E+26  0.3070E+26  0.5771E+26  0.1861E+27
  0.6912E+25  0.7747E+25  0.8831E+25  0.1030E+26  0.1240E+26  0.1563E+26  0.2113E+26  0.3210E+26  0.6087E+26  0.1984E+27
  0.7053E+25  0.7915E+25  0.9039E+25  0.1057E+26  0.1276E+26  0.1615E+26  0.2193E+26  0.3354E+26  0.6399E+26  0.2111E+27
  0.7187E+25  0.8079E+25  0.9244E+25  0.1083E+26  0.1312E+26  0.1666E+26  0.2273E+26  0.3493E+26  0.6716E+26  0.2241E+27
  0.7320E+25  0.8241E+25  0.9449E+25  0.1109E+26  0.1347E+26  0.1717E+26  0.2353E+26  0.3637E+26  0.7032E+26  0.2374E+27
  0.7451E+25  0.8400E+25  0.9644E+25  0.1136E+26  0.1383E+26  0.1768E+26  0.2433E+26  0.3778E+26  0.7352E+26  0.2514E+27
  0.7580E+25  0.8559E+25  0.9847E+25  0.1161E+26  0.1418E+26  0.1818E+26  0.2512E+26  0.3919E+26  0.7671E+26  0.2658E+27
  0.7708E+25  0.8713E+25  0.1004E+26  0.1187E+26  0.1453E+26  0.1869E+26  0.2591E+26  0.4061E+26  0.8001E+26  0.2804E+27
  0.7831E+25  0.8865E+25  0.1024E+26  0.1212E+26  0.1488E+26  0.1919E+26  0.2670E+26  0.4202E+26  0.8324E+26  0.2956E+27
  0.7956E+25  0.9021E+25  0.1043E+26  0.1238E+26  0.1523E+26  0.1969E+26  0.2750E+26  0.4346E+26  0.8652E+26  0.3113E+27
  0.8076E+25  0.9169E+25  0.1062E+26  0.1263E+26  0.1557E+26  0.2020E+26  0.2829E+26  0.4488E+26  0.8986E+26  0.3277E+27
  0.8199E+25  0.9324E+25  0.1081E+26  0.1289E+26  0.1591E+26  0.2070E+26  0.2909E+26  0.4631E+26  0.9324E+26  0.3446E+27
  0.8322E+25  0.9472E+25  0.1100E+26  0.1314E+26  0.1626E+26  0.2121E+26  0.2989E+26  0.4777E+26  0.9669E+26  0.3622E+27

 Longitud. diffusion coef. *N (1/m/s)                            
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    
   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000    

 Bulk T diffusion coef. *N (1/m/s)                               
