ID     Reaction                                            Energy       Database        File      
8      E + O2 -> E + O2(b1Sg+), Excitation                 1.627        IST-Lisbon      ./LXCatData/O2/R8.txt
9      E + O2 -> E + O2(A3Su+,C3Du,c1Su-), Excitation      4.5          IST-Lisbon      ./LXCatData/O2/R9.txt
10     E + O2 -> E + O(3P)+O(3P), Excitation               6            IST-Lisbon      ./LXCatData/O2/R10.txt
11     E + O2 -> E + O(3P)+O(1D), Excitation               8.4          IST-Lisbon      ./LXCatData/O2/R11.txt
12     E + O2 -> E + O2(9.97eV), Excitation                9.97         IST-Lisbon      ./LXCatData/O2/R12.txt
13     E + O2 -> E + O2(14.7eV), Excitation                14.7         IST-Lisbon      ./LXCatData/O2/R13.txt
14     E + O2 -> E + E + O2+, Ionization                   12.1         IST-Lisbon      ./LXCatData/O2/R14.txt
15     E + O2, Attachment                                  0            Phelps          ./LXCatData/O2/R15.txt
16     E + O2 -> O-+O, Attachment                          0            Phelps          ./LXCatData/O2/R16.txt
17     E + O2 -> E + O2, Effective                         --           Phelps          ./LXCatData/O2/R17.txt
18     E + O2 -> E + O2(rot), Excitation                   0.02         Phelps          ./LXCatData/O2/R18.txt
19     E + O2 -> E + O2(v1), Excitation                    0.19         Phelps          ./LXCatData/O2/R19.txt
20     E + O2 -> E + O2(v1res), Excitation                 0.19         Phelps          ./LXCatData/O2/R20.txt
21     E + O2 -> E + O2(v2), Excitation                    0.38         Phelps          ./LXCatData/O2/R21.txt
22     E + O2 -> E + O2(v2res), Excitation                 0.38         Phelps          ./LXCatData/O2/R22.txt
23     E + O2 -> E + O2(v3), Excitation                    0.57         Phelps          ./LXCatData/O2/R23.txt
24     E + O2 -> E + O2(v4), Excitation                    0.75         Phelps          ./LXCatData/O2/R24.txt
25     E + O2 -> E + O2(a1), Excitation                    0.977        Phelps          ./LXCatData/O2/R25.txt
26     E + O2 -> E + O2(b1), Excitation                    1.627        Phelps          ./LXCatData/O2/R26.txt
27     E + O2 -> E + O2(4.5eV), Excitation                 4.5          Phelps          ./LXCatData/O2/R27.txt
28     E + O2 -> E + O2(6.0eV), Excitation                 6            Phelps          ./LXCatData/O2/R28.txt
29     E + O2 -> E + O2(8.4eV), Excitation                 8.4          Phelps          ./LXCatData/O2/R29.txt
30     E + O2 -> E + O2(9.97eV), Excitation                9.97         Phelps          ./LXCatData/O2/R30.txt
31     E + O2 -> E + E + O2+, Ionization                   12.06        Phelps          ./LXCatData/O2/R31.txt
32     E + O2 -> O-+O, Attachment                          0            Itikawa         ./LXCatData/O2/R32.txt
33     E + O2 -> E + O2, Elastic                           --           Itikawa         ./LXCatData/O2/R33.txt
34     E + O2 -> E + O2, Elastic                           --           Itikawa         ./LXCatData/O2/R34.txt
35     E + O2 -> E + O2, Elastic                           --           Itikawa         ./LXCatData/O2/R35.txt
36     E + O2 -> E + O2(v1), Excitation                    0.19         Itikawa         ./LXCatData/O2/R36.txt
37     E + O2 -> E + O2(v1res), Excitation                 0.19         Itikawa         ./LXCatData/O2/R37.txt
38     E + O2 -> E + O2(v2), Excitation                    0.38         Itikawa         ./LXCatData/O2/R38.txt
39     E + O2 -> E + O2(v2res), Excitation                 0.38         Itikawa         ./LXCatData/O2/R39.txt
40     E + O2 -> E + O2(v3), Excitation                    0.57         Itikawa         ./LXCatData/O2/R40.txt
41     E + O2 -> E + O2(v3res), Excitation                 0.57         Itikawa         ./LXCatData/O2/R41.txt
42     E + O2 -> E + O2(A1), Excitation                    0.977        Itikawa         ./LXCatData/O2/R42.txt
43     E + O2 -> E + O2(B1), Excitation                    1.627        Itikawa         ./LXCatData/O2/R43.txt
44     E + O2 -> E + O2(A3+A'3+c1), Excitation             4.05         Itikawa         ./LXCatData/O2/R44.txt
45     E + O2 -> E + O+O, Excitation                       6.12         Itikawa         ./LXCatData/O2/R45.txt
46     E + O2 -> E + O2(2B), Excitation                    6.12         Itikawa         ./LXCatData/O2/R46.txt
47     E + O2 -> E + O2(B3), Excitation                    6.12         Itikawa         ./LXCatData/O2/R47.txt
48     E + O2 -> E + O2(LB), Excitation                    6.12         Itikawa         ./LXCatData/O2/R48.txt
49     E + O2 -> E + E + ionization, Ionization            12.06        Itikawa         ./LXCatData/O2/R49.txt
50     E + O2 -> E + E + O2+, Ionization                   12.06        Itikawa         ./LXCatData/O2/R50.txt
51     E + O2 -> E + E + O+, Ionization                    23           Itikawa         ./LXCatData/O2/R51.txt
52     E + O2 -> E + E + O++, Ionization                   73           Itikawa         ./LXCatData/O2/R52.txt

1      E + O2 -> E + O2, Effective                         --           --              ./LXCatData/O2_old/R1.txt
2      E + O2 -> E + E + O2+, Ionization                   12.1         --              ./LXCatData/O2_old/R2.txt
3      E + O2 -> O- + O, Attachment                        0            --              ./LXCatData/O2_old/R3.txt
4      E + O2 -> O- + O, Attachment                        0            --              ./LXCatData/O2_old/R4.txt
5      E + O2 -> E + O2(v=0 - v=3), Excitation             0.6          --              ./LXCatData/O2_old/R5.txt
6      E + O2 -> E + O2(v=0 - v=4), Excitation             0.8          --              ./LXCatData/O2_old/R6.txt
7      E + O2 -> E + O2(a1Dg), Excitation                  0.977        --              ./LXCatData/O2_old/R7.txt
8      E + O2 -> E + O2(b1Sg+), Excitation                 1.627        --              ./LXCatData/O2_old/R8.txt
9      E + O2 -> E + O2(A3Su+,C3Du,c1Su-), Excitation      4.5          --              ./LXCatData/O2_old/R9.txt
10     E + O2 -> E + O + O, Excitation                     5.58         --              ./LXCatData/O2_old/R10.txt
11     E + O2 -> E + O + O(1D), Excitation                 8.4          --              ./LXCatData/O2_old/R11.txt

