"Ma","T","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","alphat","k","nut","p","rho","rhoMean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0037044,299.85,1.2892,0.0051221,0,1.2868,0.0051647,0,0.002798,1.8169e-05,0,-3.5672e-05,0,0,0,6.4232e-07,0,99770,1.1565,1.1556,1,0.000205,0.025,0.000205,0
0.0037928,299.85,1.32,0.0053885,0,1.3175,0.0054334,0,0.0028976,1.9805e-05,0,-3.7572e-05,0,0,0,6.4147e-07,0,99770,1.1565,1.1556,1,0.00021,0.025,0.00021,0
0.0038812,299.85,1.3507,0.0056549,0,1.3483,0.0057021,0,0.0029972,2.1442e-05,0,-3.9471e-05,0,0,0,6.4063e-07,0,99770,1.1565,1.1556,1,0.000215,0.025,0.000215,0
0.0039696,299.85,1.3815,0.0059213,0,1.379,0.0059708,0,0.0030969,2.3079e-05,0,-4.137e-05,0,0,0,6.3978e-07,0,99770,1.1565,1.1556,1,0.00022,0.025,0.00022,0
0.004058,299.85,1.4123,0.0061878,0,1.4097,0.0062395,0,0.0031965,2.4716e-05,0,-4.3269e-05,0,0,0,6.3893e-07,0,99770,1.1565,1.1556,1,0.000225,0.025,0.000225,0
0.0041464,299.85,1.443,0.0064542,0,1.4405,0.0065082,0,0.0032961,2.6353e-05,0,-4.5168e-05,0,0,0,6.3809e-07,0,99770,1.1565,1.1556,1,0.00023,0.025,0.00023,0
0.0042348,299.85,1.4738,0.0067206,0,1.4712,0.0067769,0,0.0033958,2.799e-05,0,-4.7067e-05,0,0,0,6.3724e-07,0,99770,1.1565,1.1556,1,0.000235,0.025,0.000235,0
0.0043232,299.85,1.5046,0.006987,0,1.5019,0.0070456,0,0.0034954,2.9626e-05,0,-4.8967e-05,0,0,0,6.3639e-07,0,99770,1.1565,1.1556,1,0.00024,0.025,0.00024,0
0.0044116,299.85,1.5353,0.0072535,0,1.5327,0.0073143,0,0.003595,3.1263e-05,0,-5.0866e-05,0,0,0,6.3555e-07,0,99770,1.1565,1.1556,1,0.000245,0.025,0.000245,0
0.0044984,299.85,1.5655,0.0075652,0,1.5628,0.0076286,0,0.0036937,3.3571e-05,0,-5.2783e-05,0,0,0,6.3435e-07,0,99770,1.1566,1.1556,1,0.00025,0.025,0.00025,0
0.0045851,299.84,1.5957,0.0078786,0,1.593,0.0079447,0,0.0037924,3.5905e-05,0,-5.4701e-05,0,0,0,6.3313e-07,0,99770,1.1566,1.1556,1,0.000255,0.025,0.000255,0
0.0046717,299.84,1.6259,0.008192,0,1.6231,0.0082608,0,0.0038911,3.8238e-05,0,-5.662e-05,0,0,0,6.3192e-07,0,99770,1.1566,1.1556,1,0.00026,0.025,0.00026,0
0.0047584,299.84,1.656,0.0085055,0,1.6532,0.0085769,0,0.0039898,4.0571e-05,0,-5.8538e-05,0,0,0,6.307e-07,0,99770,1.1566,1.1556,1,0.000265,0.025,0.000265,0
0.0048451,299.84,1.6862,0.0088189,0,1.6834,0.008893,0,0.0040884,4.2905e-05,0,-6.0456e-05,0,0,0,6.2949e-07,0,99770,1.1566,1.1556,1,0.00027,0.025,0.00027,0
0.0049318,299.84,1.7164,0.0091323,0,1.7135,0.0092091,0,0.0041871,4.5238e-05,0,-6.2374e-05,0,0,0,6.2828e-07,0,99770,1.1566,1.1556,1,0.000275,0.025,0.000275,0
0.0050185,299.84,1.7465,0.0094457,0,1.7436,0.0095252,0,0.0042858,4.7572e-05,0,-6.4292e-05,0,0,0,6.2706e-07,0,99770,1.1566,1.1556,1,0.00028,0.025,0.00028,0
0.0051052,299.84,1.7767,0.0097592,0,1.7738,0.0098413,0,0.0043845,4.9905e-05,0,-6.6211e-05,0,0,0,6.2585e-07,0,99770,1.1566,1.1556,1,0.000285,0.025,0.000285,0
0.0051914,299.84,1.8067,0.010081,0,1.8038,0.010166,0,0.0044821,5.2396e-05,0,-6.8094e-05,0,0,0,6.2455e-07,0,99770,1.1566,1.1556,1,0.00029,0.025,0.00029,0
0.0052757,299.84,1.8361,0.010438,0,1.8331,0.010526,0,0.0045756,5.5498e-05,0,-6.984e-05,0,0,0,6.2294e-07,0,99770,1.1566,1.1556,1,0.000295,0.025,0.000295,0
0.00536,299.84,1.8654,0.010795,0,1.8624,0.010886,0,0.004669,5.8601e-05,0,-7.1586e-05,0,0,0,6.2133e-07,0,99770,1.1566,1.1556,1,0.0003,0.025,0.0003,0
0.0054444,299.84,1.8947,0.011152,0,1.8917,0.011245,0,0.0047625,6.1703e-05,0,-7.3332e-05,0,0,0,6.1971e-07,0,99770,1.1566,1.1556,1,0.000305,0.025,0.000305,0
