"E:0","E:1","E:2","epsilon","epsilonD","epsilonI","volt","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00063013,0.00055366,1.1581e+05,nan,nan,nan,9999.4,1,0.014453,0,0,0.014453
0.00063355,0.0005519,1.1571e+05,nan,nan,nan,9987.5,1,0.014555,0,0,0.014555
0.00063697,0.00055014,1.1562e+05,nan,nan,nan,9975.6,1,0.014658,0,0,0.014658
0.00064109,0.00055064,1.1554e+05,nan,nan,nan,9963.8,1,0.01476,0,0,0.01476
0.00064533,0.00055148,1.1547e+05,nan,nan,nan,9951.9,1,0.014863,0,0,0.014863
0.00064956,0.00055232,1.154e+05,nan,nan,nan,9940.1,1,0.014965,0,0,0.014965
0.0006538,0.00055315,1.1533e+05,nan,nan,nan,9928.3,1,0.015068,0,0,0.015068
0.00065803,0.00055399,1.1526e+05,nan,nan,nan,9916.5,1,0.01517,0,0,0.01517
0.00066227,0.00055483,1.1519e+05,nan,nan,nan,9904.6,1,0.015272,0,0,0.015272
0.0006665,0.00055567,1.1512e+05,nan,nan,nan,9892.8,1,0.015375,0,0,0.015375
0.00067075,0.00055643,1.1506e+05,nan,nan,nan,9881,1,0.015477,0,0,0.015477
0.00067505,0.0005569,1.1501e+05,nan,nan,nan,9869.2,1,0.01558,0,0,0.01558
0.00067935,0.00055736,1.1495e+05,nan,nan,nan,9857.4,1,0.015682,0,0,0.015682
0.00068366,0.00055782,1.149e+05,nan,nan,nan,9845.6,1,0.015785,0,0,0.015785
0.00068796,0.00055828,1.1485e+05,nan,nan,nan,9833.9,1,0.015888,0,0,0.015888
0.00069226,0.00055874,1.148e+05,nan,nan,nan,9822.1,1,0.01599,0,0,0.01599
0.00069656,0.0005592,1.1475e+05,nan,nan,nan,9810.3,1,0.016092,0,0,0.016092
0.00070087,0.00055966,1.147e+05,nan,nan,nan,9798.5,1,0.016195,0,0,0.016195
0.00070515,0.00056005,1.1465e+05,nan,nan,nan,9786.8,1,0.016298,0,0,0.016298
0.00070891,0.00055874,1.1461e+05,nan,nan,nan,9775,1,0.0164,0,0,0.0164
0.00071267,0.00055743,1.1457e+05,nan,nan,nan,9763.3,1,0.016502,0,0,0.016502
0.00071643,0.00055612,1.1453e+05,nan,nan,nan,9751.5,1,0.016605,0,0,0.016605
0.00072019,0.00055481,1.145e+05,nan,nan,nan,9739.8,1,0.016708,0,0,0.016708
0.00072395,0.0005535,1.1446e+05,nan,nan,nan,9728,1,0.01681,0,0,0.01681
0.00072772,0.00055219,1.1442e+05,nan,nan,nan,9716.3,1,0.016912,0,0,0.016912
0.00073148,0.00055088,1.1438e+05,nan,nan,nan,9704.6,1,0.017015,0,0,0.017015
0.00073524,0.00054956,1.1435e+05,nan,nan,nan,9692.8,1,0.017118,0,0,0.017118
0.00073913,0.0005473,1.1431e+05,nan,nan,nan,9681.1,1,0.01722,0,0,0.01722
0.00074323,0.0005436,1.1429e+05,nan,nan,nan,9669.4,1,0.017322,0,0,0.017322
0.00074733,0.00053991,1.1426e+05,nan,nan,nan,9657.7,1,0.017425,0,0,0.017425
0.00075142,0.00053622,1.1424e+05,nan,nan,nan,9646,1,0.017528,0,0,0.017528
0.00075552,0.00053253,1.1421e+05,nan,nan,nan,9634.2,1,0.01763,0,0,0.01763
0.00075961,0.00052883,1.1418e+05,nan,nan,nan,9622.5,1,0.017732,0,0,0.017732
0.00076371,0.00052514,1.1416e+05,nan,nan,nan,9610.8,1,0.017835,0,0,0.017835
0.00076781,0.00052145,1.1413e+05,nan,nan,nan,9599.1,1,0.017938,0,0,0.017938
0.0007719,0.00051776,1.141e+05,nan,nan,nan,9587.4,1,0.01804,0,0,0.01804
0.0007761,0.00051274,1.1408e+05,nan,nan,nan,9575.7,1,0.018142,0,0,0.018142
0.00078061,0.00050372,1.1406e+05,nan,nan,nan,9564,1,0.018245,0,0,0.018245
0.00078513,0.0004947,1.1404e+05,nan,nan,nan,9552.3,1,0.018347,0,0,0.018347
0.00078964,0.00048568,1.1402e+05,nan,nan,nan,9540.6,1,0.01845,0,0,0.01845
0.00079415,0.00047666,1.1401e+05,nan,nan,nan,9528.9,1,0.018553,0,0,0.018553
0.00079866,0.00046764,1.1399e+05,nan,nan,nan,9517.2,1,0.018655,0,0,0.018655
0.00080317,0.00045862,1.1397e+05,nan,nan,nan,9505.5,1,0.018757,0,0,0.018757
0.00080768,0.0004496,1.1395e+05,nan,nan,nan,9493.8,1,0.01886,0,0,0.01886
0.0008122,0.00044058,1.1393e+05,nan,nan,nan,9482.1,1,0.018963,0,0,0.018963
0.00081671,0.00043156,1.1391e+05,nan,nan,nan,9470.4,1,0.019065,0,0,0.019065
0.00082168,0.00041632,1.139e+05,nan,nan,nan,9458.8,1,0.019167,0,0,0.019167
0.00082702,0.00039591,1.1389e+05,nan,nan,nan,9447.1,1,0.01927,0,0,0.01927
0.00083237,0.00037549,1.1387e+05,nan,nan,nan,9435.4,1,0.019373,0,0,0.019373
0.00083772,0.00035508,1.1386e+05,nan,nan,nan,9423.7,1,0.019475,0,0,0.019475
0.00084307,0.00033466,1.1385e+05,nan,nan,nan,9412.1,1,0.019577,0,0,0.019577
0.00084842,0.00031425,1.1384e+05,nan,nan,nan,9400.4,1,0.01968,0,0,0.01968
0.00085377,0.00029383,1.1382e+05,nan,nan,nan,9388.7,1,0.019783,0,0,0.019783
0.00085912,0.00027341,1.1381e+05,nan,nan,nan,9377,1,0.019885,0,0,0.019885
0.00086447,0.000253,1.138e+05,nan,nan,nan,9365.3,1,0.019987,0,0,0.019987
0.00086981,0.00023258,1.1379e+05,nan,nan,nan,9353.7,1,0.02009,0,0,0.02009
0.0008755,0.00020595,1.1378e+05,nan,nan,nan,9342,1,0.020193,0,0,0.020193
0.00088213,0.00016159,1.1377e+05,nan,nan,nan,9330.3,1,0.020295,0,0,0.020295
0.00088877,0.00011722,1.1376e+05,nan,nan,nan,9318.7,1,0.020397,0,0,0.020397
0.00089541,7.2859e-05,1.1375e+05,nan,nan,nan,9307,1,0.0205,0,0,0.0205
0.00090205,2.8495e-05,1.1374e+05,nan,nan,nan,9295.3,1,0.020603,0,0,0.020603
0.00090868,-1.587e-05,1.1373e+05,nan,nan,nan,9283.7,1,0.020705,0,0,0.020705
0.00091532,-6.0235e-05,1.1373e+05,nan,nan,nan,9272,1,0.020807,0,0,0.020807
0.00092196,-0.0001046,1.1372e+05,nan,nan,nan,9260.3,1,0.02091,0,0,0.02091
0.00092859,-0.00014896,1.1371e+05,nan,nan,nan,9248.7,1,0.021012,0,0,0.021012
0.00093523,-0.00019333,1.137e+05,nan,nan,nan,9237,1,0.021115,0,0,0.021115
0.00094187,-0.00023769,1.1369e+05,nan,nan,nan,9225.3,1,0.021217,0,0,0.021217
0.00094897,-0.00029394,1.1369e+05,nan,nan,nan,9213.7,1,0.02132,0,0,0.02132
0.00095691,-0.00037166,1.1368e+05,nan,nan,nan,9202,1,0.021422,0,0,0.021422
0.00096484,-0.00044938,1.1368e+05,nan,nan,nan,9190.3,1,0.021525,0,0,0.021525
0.00097278,-0.0005271,1.1367e+05,nan,nan,nan,9178.7,1,0.021628,0,0,0.021628
0.00098072,-0.00060482,1.1366e+05,nan,nan,nan,9167,1,0.02173,0,0,0.02173
0.00098865,-0.00068255,1.1366e+05,nan,nan,nan,9155.4,1,0.021832,0,0,0.021832
0.00099659,-0.00076027,1.1365e+05,nan,nan,nan,9143.7,1,0.021935,0,0,0.021935
0.0010045,-0.00083799,1.1365e+05,nan,nan,nan,9132.1,1,0.022038,0,0,0.022038
0.0010125,-0.00091571,1.1364e+05,nan,nan,nan,9120.4,1,0.02214,0,0,0.02214
0.0010204,-0.00099343,1.1364e+05,nan,nan,nan,9108.7,1,0.022242,0,0,0.022242
0.0010283,-0.0010712,1.1363e+05,nan,nan,nan,9097.1,1,0.022345,0,0,0.022345
0.0010363,-0.0011489,1.1363e+05,nan,nan,nan,9085.4,1,0.022448,0,0,0.022448
0.0010458,-0.0011909,1.1362e+05,nan,nan,nan,9073.8,1,0.02255,0,0,0.02255
0.0010558,-0.001224,1.1362e+05,nan,nan,nan,9062.1,1,0.022652,0,0,0.022652
0.0010658,-0.0012571,1.1362e+05,nan,nan,nan,9050.5,1,0.022755,0,0,0.022755
0.0010758,-0.0012901,1.1361e+05,nan,nan,nan,9038.8,1,0.022858,0,0,0.022858
0.0010858,-0.0013232,1.1361e+05,nan,nan,nan,9027.1,1,0.02296,0,0,0.02296
0.0010957,-0.0013563,1.1361e+05,nan,nan,nan,9015.5,1,0.023062,0,0,0.023062
0.0011057,-0.0013893,1.136e+05,nan,nan,nan,9003.8,1,0.023165,0,0,0.023165
0.0011157,-0.0014224,1.136e+05,nan,nan,nan,8992.2,1,0.023268,0,0,0.023268
0.0011257,-0.0014555,1.136e+05,nan,nan,nan,8980.5,1,0.02337,0,0,0.02337
0.0011356,-0.0014885,1.1359e+05,nan,nan,nan,8968.9,1,0.023472,0,0,0.023472
0.0011456,-0.0015216,1.1359e+05,nan,nan,nan,8957.2,1,0.023575,0,0,0.023575
0.0011556,-0.0015547,1.1359e+05,nan,nan,nan,8945.6,1,0.023677,0,0,0.023677
0.0011617,-0.001533,1.1358e+05,nan,nan,nan,8933.9,1,0.02378,0,0,0.02378
0.0011645,-0.0014661,1.1358e+05,nan,nan,nan,8922.3,1,0.023882,0,0,0.023882
0.0011673,-0.0013993,1.1358e+05,nan,nan,nan,8910.6,1,0.023985,0,0,0.023985
0.0011701,-0.0013324,1.1358e+05,nan,nan,nan,8899,1,0.024087,0,0,0.024087
0.0011729,-0.0012655,1.1358e+05,nan,nan,nan,8887.3,1,0.02419,0,0,0.02419
0.0011757,-0.0011987,1.1357e+05,nan,nan,nan,8875.7,1,0.024293,0,0,0.024293
0.0011785,-0.0011318,1.1357e+05,nan,nan,nan,8864,1,0.024395,0,0,0.024395
0.0011813,-0.0010649,1.1357e+05,nan,nan,nan,8852.4,1,0.024497,0,0,0.024497
0.0011841,-0.00099804,1.1357e+05,nan,nan,nan,8840.7,1,0.0246,0,0,0.0246
0.0011869,-0.00093116,1.1356e+05,nan,nan,nan,8829.1,1,0.024703,0,0,0.024703
0.0011897,-0.00086429,1.1356e+05,nan,nan,nan,8817.4,1,0.024805,0,0,0.024805
0.0011925,-0.00079742,1.1356e+05,nan,nan,nan,8805.8,1,0.024907,0,0,0.024907
0.0011953,-0.00073055,1.1356e+05,nan,nan,nan,8794.1,1,0.02501,0,0,0.02501
0.001191,-0.0006354,1.1356e+05,nan,nan,nan,8782.5,1,0.025113,0,0,0.025113
0.0011811,-0.00051805,1.1356e+05,nan,nan,nan,8770.8,1,0.025215,0,0,0.025215
0.0011713,-0.00040069,1.1355e+05,nan,nan,nan,8759.2,1,0.025317,0,0,0.025317
0.0011614,-0.00028334,1.1355e+05,nan,nan,nan,8747.5,1,0.02542,0,0,0.02542
0.0011515,-0.00016598,1.1355e+05,nan,nan,nan,8735.9,1,0.025523,0,0,0.025523
0.0011417,-4.8624e-05,1.1355e+05,nan,nan,nan,8724.2,1,0.025625,0,0,0.025625
0.0011318,6.8731e-05,1.1355e+05,nan,nan,nan,8712.6,1,0.025727,0,0,0.025727
0.0011219,0.00018609,1.1355e+05,nan,nan,nan,8700.9,1,0.02583,0,0,0.02583
0.0011121,0.00030344,1.1355e+05,nan,nan,nan,8689.3,1,0.025933,0,0,0.025933
0.0011022,0.0004208,1.1355e+05,nan,nan,nan,8677.6,1,0.026035,0,0,0.026035
0.0010924,0.00053815,1.1354e+05,nan,nan,nan,8666,1,0.026137,0,0,0.026137
0.0010825,0.00065551,1.1354e+05,nan,nan,nan,8654.3,1,0.02624,0,0,0.02624
0.0010726,0.00077286,1.1354e+05,nan,nan,nan,8642.7,1,0.026343,0,0,0.026343
0.0010628,0.00089022,1.1354e+05,nan,nan,nan,8631,1,0.026445,0,0,0.026445
0.00105,0.0010128,1.1354e+05,nan,nan,nan,8619.4,1,0.026547,0,0,0.026547
0.0010365,0.0011367,1.1354e+05,nan,nan,nan,8607.7,1,0.02665,0,0,0.02665
0.0010229,0.0012605,1.1354e+05,nan,nan,nan,8596.1,1,0.026752,0,0,0.026752
0.0010094,0.0013844,1.1354e+05,nan,nan,nan,8584.4,1,0.026855,0,0,0.026855
0.00099586,0.0015083,1.1354e+05,nan,nan,nan,8572.8,1,0.026957,0,0,0.026957
0.00098233,0.0016322,1.1354e+05,nan,nan,nan,8561.1,1,0.02706,0,0,0.02706
0.00096879,0.0017561,1.1354e+05,nan,nan,nan,8549.5,1,0.027162,0,0,0.027162
0.00095526,0.00188,1.1353e+05,nan,nan,nan,8537.9,1,0.027265,0,0,0.027265
0.00094172,0.0020039,1.1353e+05,nan,nan,nan,8526.2,1,0.027368,0,0,0.027368
0.00092819,0.0021278,1.1353e+05,nan,nan,nan,8514.6,1,0.02747,0,0,0.02747
0.00091466,0.0022517,1.1353e+05,nan,nan,nan,8502.9,1,0.027572,0,0,0.027572
0.00090112,0.0023756,1.1353e+05,nan,nan,nan,8491.3,1,0.027675,0,0,0.027675
0.00088759,0.0024995,1.1353e+05,nan,nan,nan,8479.6,1,0.027778,0,0,0.027778
0.00087405,0.0026234,1.1353e+05,nan,nan,nan,8468,1,0.02788,0,0,0.02788
0.00086147,0.0027386,1.1353e+05,nan,nan,nan,8456.3,1,0.027982,0,0,0.027982
0.00085266,0.0028197,1.1353e+05,nan,nan,nan,8444.7,1,0.028085,0,0,0.028085
0.00084385,0.0029007,1.1353e+05,nan,nan,nan,8433,1,0.028188,0,0,0.028188
0.00083505,0.0029817,1.1353e+05,nan,nan,nan,8421.4,1,0.02829,0,0,0.02829
0.00082624,0.0030627,1.1353e+05,nan,nan,nan,8409.7,1,0.028392,0,0,0.028392
0.00081743,0.0031437,1.1353e+05,nan,nan,nan,8398.1,1,0.028495,0,0,0.028495
0.00080863,0.0032248,1.1353e+05,nan,nan,nan,8386.4,1,0.028598,0,0,0.028598
