"E:0","E:1","E:2","epsilon","epsilonD","epsilonI","volt","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2.6951e-10,3.094e+06,0.0049362,1,nan,nan,9002.7,1,0.0008448,0,0.0042448,0
-2.6897e-10,3.0878e+06,0.0049317,1,nan,nan,8982.1,1,0.0008514,0,0.0042514,0
-2.6842e-10,3.0815e+06,0.0049272,1,nan,nan,8961.5,1,0.000858,0,0.004258,0
-2.6788e-10,3.0753e+06,0.0049226,1,nan,nan,8940.9,1,0.0008646,0,0.0042646,0
-2.6733e-10,3.069e+06,0.0049181,1,nan,nan,8920.3,1,0.0008712,0,0.0042712,0
-2.6679e-10,3.0628e+06,0.0049136,1,nan,nan,8899.7,1,0.0008778,0,0.0042778,0
-2.6625e-10,3.0565e+06,0.004909,1,nan,nan,8879.1,1,0.0008844,0,0.0042844,0
-2.657e-10,3.0503e+06,0.0049045,1,nan,nan,8858.5,1,0.000891,0,0.004291,0
-2.6516e-10,3.044e+06,0.0048999,1,nan,nan,8837.8,1,0.0008976,0,0.0042976,0
-2.6461e-10,3.0378e+06,0.0048954,1,nan,nan,8817.2,1,0.0009042,0,0.0043042,0
-2.6407e-10,3.0315e+06,0.0048909,1,nan,nan,8796.6,1,0.0009108,0,0.0043108,0
-2.6352e-10,3.0253e+06,0.0048863,1,nan,nan,8776,1,0.0009174,0,0.0043174,0
-2.6299e-10,3.0191e+06,0.0048837,1,nan,nan,8755.7,1,0.000924,0,0.004324,0
-2.6247e-10,3.0132e+06,0.0048876,1,nan,nan,8736.3,1,0.0009306,0,0.0043306,0
-2.6195e-10,3.0073e+06,0.0048914,1,nan,nan,8716.9,1,0.0009372,0,0.0043372,0
-2.6144e-10,3.0013e+06,0.0048953,1,nan,nan,8697.4,1,0.0009438,0,0.0043438,0
-2.6092e-10,2.9954e+06,0.0048992,1,nan,nan,8678,1,0.0009504,0,0.0043504,0
-2.604e-10,2.9895e+06,0.0049031,1,nan,nan,8658.6,1,0.000957,0,0.004357,0
-2.5989e-10,2.9836e+06,0.0049069,1,nan,nan,8639.2,1,0.0009636,0,0.0043636,0
-2.5937e-10,2.9776e+06,0.0049108,1,nan,nan,8619.8,1,0.0009702,0,0.0043702,0
-2.5886e-10,2.9717e+06,0.0049147,1,nan,nan,8600.3,1,0.0009768,0,0.0043768,0
-2.5834e-10,2.9658e+06,0.0049186,1,nan,nan,8580.9,1,0.0009834,0,0.0043834,0
-2.5782e-10,2.9598e+06,0.0049225,1,nan,nan,8561.5,1,0.00099,0,0.00439,0
